iter	Passed	Remaining
0	1	182
1	3	167
2	4	152
3	5	141
4	7	137
5	8	131
6	9	128
7	10	126
8	12	121
9	12	115
10	13	111
11	15	110
12	16	110
13	17	109
14	19	109
15	20	108
16	21	106
17	22	103
18	23	99
19	24	97
20	25	96
21	26	94
22	27	93
23	29	92
24	30	91
25	31	89
26	32	87
27	33	86
28	35	85
29	36	85
30	37	82
31	38	80
32	38	78
33	39	77
34	40	75
35	41	74
36	43	73
37	44	72
38	45	71
39	46	70
40	48	69
41	48	67
42	49	66
43	50	64
44	51	62
45	52	61
46	52	59
47	53	58
48	54	56
49	55	55
50	56	53
51	57	52
52	58	51
53	59	50
54	60	49
55	61	48
56	62	47
57	64	46
58	65	45
59	66	44
60	67	43
61	68	41
62	68	40
63	69	39
64	70	37
65	71	36
66	72	35
67	73	34
68	74	33
69	76	32
70	77	31
71	78	30
72	79	29
73	81	28
74	82	27
75	83	26
76	83	24
77	84	23
78	84	22
79	85	21
80	86	20
81	86	19
82	87	17
83	88	16
84	88	15
85	89	14
86	89	13
87	90	12
88	91	11
89	91	10
90	92	9
91	92	8
92	93	7
93	94	6
94	94	4
95	95	3
96	95	2
97	96	1
98	97	0
99	97	0
